rank,artist
1,Mrs.GREEN APPLE
2,back number
3,米津玄師
4,Vaundy
5,HANA
6,Snow Man
7,Official髭男dism
8,藤井風
9,YOASOBI
10,ちゃんみな
11,あいみょん
12,Number_i
13,Creepy Nuts
14,King Gnu
15,RADWIMPS
16,BE:FIRST
17,ONE OK ROCK
18,優里
19,Ado
20,ヨルシカ
21,サカナクション
22,aespa
23,マカロニえんぴつ
24,スピッツ
25,CUTIE STREET
26,FRUITS ZIPPER
27,サザンオールスターズ
28,LE SSERAFIM
29,timelesz
30,BAD HOP
31,Da-iCE
32,Stray Kids
33,ILLIT
34,ロゼ & ブルーノ・マーズ
35,Saucy Dog
36,清水翔太
37,tuki.
38,&TEAM
39,King & Prince
40,TWICE
41,SEVENTEEN
42,JO1
43,BABYMONSTER
44,Omoinotake
45,幾田りら
46,XG
47,Novelbright
48,TOMORROW X TOGETHER
49,Mr.Children
50,星野源
51,IVE
52,緑黄色社会
53,SEKAI NO OWARI
54,aiko
55,宇多田ヒカル
56,SixTONES
57,AKASAKI
58,JIN
59,櫻坂46
60,こっちのけんと
61,ORANGE RANGE
62,＝LOVE
63,NiziU
64,TREASURE
65,平井大
66,ZEROBASEONE
67,ENHYPEN
68,CANDY TUNE
69,BOYNEXTDOOR
70,INI
71,GReeeeN
72,なにわ男子
73,HY
74,アイナ・ジ・エンド
75,Tani Yuuki
76,Aimer(エメ)
77,いきものがかり
78,クリープハイプ
79,菅田将暉
80,NewJeans
81,乃木坂46
82,ロゼ
83,LANA
84,LiSA
85,Superfly
86,嵐
87,椎名林檎
88,Travis Japan
89,超ときめき(ハート)宣伝部
90,"米津玄師, 宇多田ヒカル"
91,ポルノグラフィティ
92,KinKi Kids
93,JIMIN
94,JENNIE
95,エド・シーラン
96,M!LK
97,星街すいせい
98,MISAMO
99,MONGOL800
100,なとり
