artist,debut_date,debut_track,mbid,verified
&TEAM,2022-11-21,Under the skin,bba737dc-7ec8-482d-b79f-68d949ef2c7f,false
1 World,2021-07-02,Lost in Music,b05c765c-958c-4432-9f8a-1deb13270763,false
10-FEET,2001-04-01,april fool,e000f4d8-b722-4120-9b5d-0a13d6f39be3,false
10人祭,2001-07-04,ダンシング!夏祭り,dc7bfdd0-886a-42a8-be7c-5ee7cf75bd22,false
175R,2001-06-13,From North 9 States,856fd456-a940-4e12-970a-66bffaf0ffbd,false
8KO,2018-07-13,Ocean,1c1f8776-3a91-4ccf-9a4a-73ee7356d577,false
=LOVE,2017-09-06,=LOVE,28abfefb-cceb-4605-8330-a53b6d161403,false
A-Roma,2012-08-27,100% Freaky,c1aef98c-76f3-41db-80b2-5ff42f1c7ef1,false
AKASAKI,2024-04-24,弾きこもり,7d915528-c29f-4cec-9575-37212e4936ad,false
AKB48,2007-03-07,チームA 1st Stage「PARTYが始まるよ」,be547bca-8718-4762-bf1b-34a3bdb4938f,false
AOA,1998-07-23,Open,05f48838-1022-4d09-900b-9982ed9a4892,false
ASA-CHANG&巡礼,2004-01-28,背中,ad7f6f52-e243-4bd0-b077-a7f08dc66d06,false
ASIAN2,2006-05-24,ASIAN VIBRATION,bb79f584-6386-436d-bde1-8a64b2cc493e,false
AURORA,2002-04-24,indispensable,5731b040-462b-4e35-a512-8e9e37b0b020,false
AZU,2007-05-30,CHERISH,4d44f4d7-4d01-4f9a-9fdc-0633fc6aec9b,false
Acid Black Cherry,2007-07-18,SPELL MAGIC,a3842d12-306c-498a-ae1d-03ee40e3f2ac,false
Ado,2020-05-11,ANEMONE,e134b52f-2e9e-4734-9bc3-bea9648d1fa1,false
Aimer,2011-09-07,六等星の夜 / 悲しみはオーロラに / TWINKLE TWINKLE LITTLE STAR,9388cee2-7d57-4598-905f-106019b267d3,false
Alonestar,2013-06-15,Warrior,996fc8b5-e1c3-4113-9073-26e5f9a012bf,false
Amiide,2022-06-17,After the rain,4428d650-b16c-4835-a141-456c6ba1e58b,false
Ana Milva Gomes,2023-11-17,Santa Claus Is Comin’ to Town,c4411a54-0240-49b2-b459-76fc66c3d25d,false
Aqua Timez,2005-08-24,空いっぱいに奏でる祈り,c502a882-ea55-4bdf-b6e0-a95330e14682,false
Arianna,2020-10-16,Ven a cantar,bc6d47e3-87ab-41d5-95de-d745082de2ae,false
Awich,2006-12-06,Inner Research,aaad2b8b-4498-4106-a65e-1ed1ee5b2d04,false
Azki,2018-12-28,Creating world,ffaa41c1-9dab-4cf0-94cd-14c74e55fe7e,false
B'z,1988-09-21,B’z,20172e89-b8a5-4675-bd79-792d50d846a9,false
BABY-T,2019-09-16,Stand By You,5f298eaf-273c-4b0a-8210-2ba439055d42,false
BACK-ON,2004-10-27,ADACHI TRIBE,12d75989-f4c5-49c0-9785-91df3d160648,false
BE:FIRST,2021-08-16,Shining One,c11b6e14-9a78-40c3-b70c-c46e8b819637,false
BEAT CRUSADERS,1999-06-10,NEVER POP ENOUGH e.p.,e8575463-1ef4-4fc7-8d63-b8b12fe3c13b,false
BEGIN,1992-12-02,THE ROOTS,c1854280-3a9d-424b-a112-45fe29fa1f79,false
BENNIE K,2001-01-24,Melody,299e1d05-9508-47f6-96e8-a19d8b7d7edd,false
BIGYUKI,2017-11-03,Eclipse,68bd4385-0b94-46bc-863c-6c2971291204,false
BOBBY SHANN,2021-03-12,Post Internet (Extended Dub),49b46a6d-d204-4067-8a80-8007496674e3,false
BON-SAN,2020-07-31,REINTERPRETED WORKS VOL.1,3e1ae16b-21ba-42c7-83d3-f82db93fcfbe,false
BONNIE PINK,1995-10-20,オレンジ,ffa25bb8-a082-4b47-aa4c-9ef48df98dc6,false
BOYNEXTDOOR,2023-05-30,WHO!,656d0024-7b5f-4089-9d3e-ce383f15f1b7,false
BOØWY,1985-06-01,ホンキー・トンキー・クレイジー,e4042709-8b47-40af-ba30-391d9c81008f,false
BUCK-TICK,1987-04-01,HURRY UP MODE,a70fca82-889a-4f70-98bb-39f7ec968566,false
BoA,2019-01-30,ゼロ,6b8ac23c-5fa3-46ad-8143-c07e13128548,false
Brooke Hogan,2004-07-27,Everything to Me,fb35e47b-8d34-499f-b700-1bf3ebb01a8f,false
Bøbben,2021-03-09,Kunsten å tenke negativt,58fc723e-41a8-4c04-ad78-790134e17847,false
C-C-B,1985-01-25,Romanticが止まらない,6e478916-d7b3-46e6-a8fc-92e0d10c0401,false
CANDY TUNE,2023-03-07,CANDY TUNE,71b68ea5-dcee-4e0b-8297-c027816cedf9,false
CHAGE and ASKA,1980-04-25,風舞,02a58b34-8b88-438d-9e90-01c84adc6957,false
CHEMISTRY,2001-11-07,The Way We Are,c8524763-e7d7-4225-8a9a-e7b64db5a1e2,false
CML,2020-12-20,Self Made,94efe306-82a8-41e1-8761-563108d65f0a,false
CROWK,2024-10-27,New Credit,1baa175a-35fa-4967-89fc-405dd5876cdf,false
CUTIE STREET,2024-09-09,かわいいだけじゃだめですか？,0848dd33-fef4-48c4-801c-18ce3a611467,false
Capcom Sound Team,1988-03-25,カプコン・ゲーム・ミュージック VOL.2,f217f62b-953b-4091-91b1-50c5275f473e,false
Cecil,2000-12-08,Rikka,b8b3b0ac-5e5d-4a1e-9ab8-f8848df57a42,false
Chad Tepper,2019-05-31,Saddest Memories,8d6a9ac0-3c59-467b-94e8-004bff4cc483,false
Chara,1991-11-01,Sweet,94812064-a7c2-49d2-b6b0-b9e76289bf87,false
Chroma-kei,2015-02-13,"Each Day, Everyday",54028788-eec1-44b2-99f0-9224b3a307d6,false
Coming Century,1998-05-27,夏のかけら,57cc9d5f-6cad-4e6f-a6d2-70681112ed27,false
Cool-X,2018-04-25,So Much So Much,1a4b25c9-53db-4b6d-96ff-006faa013c85,false
Cosmo,2011-12-21,鏡音レンの暴走,eceb2a11-fa7e-496e-9adf-a540810d932b,false
Creepy Nuts,2016-01-20,たりないふたり,e5e045da-59a3-4b65-8bb4-3c7f3ac9a529,false
Crush,2012-07-04,One of Those Days,b5404b0a-2f16-4926-ac87-a7af655ec54e,false
Crystal Kay,1999-07-01,Eternal Memories,86443348-fd26-48cf-bd13-7ea7fa27505c,false
Curious,2025-04-30,右肩のファンデーション,ab9df0b8-8d75-4bd5-8eab-b04d4c7b0de5,false
DECAYS,2016-04-01,ビロードの鳥,e9886313-dfe4-4bbd-bc6d-6e978eeb2e34,false
DEF.DIVA,2005-10-19,好きすぎて バカみたい,75341945-4ea6-4f6c-8aa2-1c9aa65388e7,false
DISH//,2013-06-19,I Can Hear,17c95457-e862-469d-8bdc-889a22d8e95b,false
DJ CHARI,2019-07-26,Come With Me (Remix),51947e75-3e10-4efb-ba83-1889e73e8352,false
DJ HASEBE,1998-03-25,adore (THE ONLY ONE FOR ME),a40e4f43-6671-4d0e-b079-103a1e237d7f,false
DJ Hasebe,1998-03-25,adore (THE ONLY ONE FOR ME),a40e4f43-6671-4d0e-b079-103a1e237d7f,false
DJ JAM,2021-11-16,TABI,7c1969db-839b-464f-a9b3-9d9ae86542b6,false
DJ OZMA,2006-03-22,Age♂Age♂EVERY☆Knight,00b25dc2-ace6-4d32-9142-9a1d3bf20b45,false
DJ TATSUKI,2019-01-30,Invisible Lights,0e90799c-41df-4496-863a-e188a33db519,false
DJ YEN,2015-03-25,Get & Choose EP,0c69db24-f2ee-41d5-8694-17ad2885b93d,false
DJ.DAI,2010-09-01,Hardcore Electron,34e8d0ea-77d8-4bb5-ad37-3a54c5ada14d,false
DURDN,2021-01-16,Conflict,6aff52d9-0a2f-448f-9902-5712248be5d0,false
